C,N,Vb,Vc,Fat,cellulose,Weightgain
-0.33989448,-1.226701841,0.150607531,-0.755704938,1.509683342,1.240077429,0.0792
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497,0.1645
-1.062955428,-1.226701841,-0.739463218,-0.846847,-1.178426556,1.805609272,0.059
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204,0.0594
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159,0.1541
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127,0.0184
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653,0.1582
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604,0.0584
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653,0.0744
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204,0.0446
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204,0.0595
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607,0.0907
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163,0.0714
-0.33989448,1.263965689,-0.650456143,-0.755704938,-0.282389923,-0.797875159,0.0408
1.829288363,1.263965689,1.930749029,1.88741487,1.509683342,-2.575988791,0.0296
-0.33989448,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.2045
-0.33989448,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.2073
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127,0.0253
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362,0.0735
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604,0.0821
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163,0.0619
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796,0.208
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994,0.0365
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.1155
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898,0.1042
-1.062955428,-0.915368399,-0.294427843,0.064573623,1.509683342,1.474441976,0.0764
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053,0.059
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994,0.0324
-0.33989448,-1.226701841,0.150607531,-0.755704938,1.509683342,1.240077429,0.0251
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163,0.0986
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898,0.1292
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.1258
-0.33989448,1.263965689,0.150607531,0.064573623,-0.282389923,-0.797875159,0.165
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607,0.0758
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159,0.1591
1.829288363,-0.604034958,-0.739463218,0.064573623,-0.73040824,-0.792780277,0.0915
-0.33989448,1.263965689,-0.650456143,0.064573623,-0.282389923,-0.797875159,0.1834
