C,N,Vb,Vc,Fat,cellulose,Weightgain
5,0,3,1,5,91,0.0252
40,40,3,3,15,14,0.0219
5,40,0.5,0,10,54.5,0.1832
5,10,1,3,0,81,0.0781
5,40,0.5,0,10,54.5,0.1431
10,5,0,3,10,82,0.0698
0,5,0.5,1,15,93.5,0.0986
5,10,1,3,0,81,0.0498
0,20,0.1,3,5,76.9,0.1494
10,5,0,3,10,82,0.0701
5,10,1,3,0,81,0.1088
0,40,1,0.5,2.5,58.5,0.1706
5,5,0.1,0.1,2.5,89.8,0.1089
20,10,0.1,0,15,69.9,0.1177
40,0,0.1,0.5,10,59.4,0.0749
40,20,0.5,0.1,0,39.4,0.0795
5,0,3,1,5,91,0.0186
10,0,1,0.1,15,88.9,0.0253
10,20,3,0,2.5,67,0.1877
0,0,0,0,0,100,0.0323
20,40,0,0.1,5,39.9,0.1507
40,0,0.1,0.5,10,59.4,0.0808
20,5,3,0.5,0,71.5,0.0959
20,5,3,0.5,0,71.5,0.0599
30,40,0.1,0.5,5,48.9,0.1844
40,5,1,0,5,54,0.0967
0,40,1,0.5,2.5,58.5,0.1214
0,10,3,0.1,10,86.9,0.1212
10,20,3,0,2.5,67,0.1655
5,20,0,0.5,15,74.5,0.19
10,10,0.5,0.5,5,79,0.0907
40,20,0.5,0.1,0,39.4,0.056
20,5,3,0.5,0,71.5,0.0924
5,10,1,3,0,81,0.1319
0,40,0.1,0.5,5,48.9,0.073
10,40,0.1,0.5,5,48.9,0.2003
10,40,0.1,1,0,48.9,0.1842
40,5,1,0,5,54,0.092
20,0,0.5,3,2.5,76.5,0.0305
20,5,3,0.5,0,71.5,0.0804
20,20,1,1,10,58,0.0623
10,40,0.1,0.5,5,48.9,0.1642
10,10,0.5,0.5,5,79,0.0866
10,40,0.1,1,0,48.9,0.1792
5,20,0,0.5,15,74.5,0.186
40,0,0.1,0.5,10,59.4,0.0647
10,40,0.1,1,0,48.9,0.1585
20,20,1,1,10,58,0.0775
0,0,0,0,0,100,0.0426
40,10,0,1,2.5,49,0.0917
10,40,0.1,0.5,5,48.9,0.2168
10,40,0.1,1,0,48.9,0.1881
10,20,3,0,2.5,67,0.1835
0,40,1,0.5,2.5,58.5,0.2206
10,40,0.1,1,0,48.9,0.186111111
20,10,0.1,0,15,69.9,0.0339
5,20,0,0.5,15,74.5,0.119
30,40,0.1,0.5,5,48.9,0.1855
20,40,0,0.1,5,39.9,0.1265
0,20,0.1,3,5,76.9,0.1399
40,20,0.5,0.1,0,39.4,0.1603
10,10,0.5,0.5,5,79,0.0795
10,5,0,3,10,82,0.0836
10,40,0.1,0.1,5,48.9,0.1358
20,40,0.1,0.5,5,48.9,0.1762
40,10,0,1,2.5,49,0.1091
20,5,3,0.5,0,71.5,0.0563
0,0,0,0,0,100,0.0374
5,10,1,3,0,81,0.1249
10,5,0,3,10,82,0.0381
5,10,1,3,0,81,0.075
40,40,3,3,15,14,0.0573
20,40,0,0.1,5,39.9,0.1053
20,40,0,0.1,5,39.9,0.1122
40,40,3,3,15,14,0.0537
20,20,1,1,10,58,0.1336
5,40,0.5,0,10,54.5,0.1219
0,20,0.1,3,5,76.9,0.1326
10,40,0.1,1,5,48.9,0.190877778
10,0,1,0.1,15,88.9,0.0267
0,5,0.5,1,15,93.5,0.0899
40,5,1,0,5,54,0.0692
20,5,3,0.5,0,71.5,0.0966
40,40,3,3,15,14,0.0462
5,0,3,1,5,91,0.0501
0,40,0.1,0.5,5,48.9,0.0826
40,0,0.1,0.5,10,59.4,0.0259
20,5,3,0.5,0,71.5,0.0581
10,20,3,0,2.5,67,0.0906
